name,date,size,rootdir,fileurl
201903.pdf,20190321-10:43:02,520778,MARL2019,Desktop\20190321\201903.pdf
201903.pdf,20190329-11:05:15,50351,MARL2019,work\marvell\ADP\201903.pdf
New Microsoft Word Document.docx,20190319-10:45:58,274480,MARL2019,Desktop\20190321\New Microsoft Word Document.docx
New Microsoft Word Document.docx,20190806-16:54:12,274970,MARL2019,Desktop\20190806\New Microsoft Word Document.docx
155.jpg,20190402-08:50:31,193983,MARL2019,Desktop\20190402\155.jpg
155.jpg,20190603-10:32:28,97540,MARL2019,Desktop\20190605\155.jpg
155.jpg,20190705-07:27:08,96967,MARL2019,Desktop\20190705\155.jpg
155.jpg,20190806-16:53:07,131374,MARL2019,Desktop\20190806\155.jpg
155.jpg,20190902-16:35:07,131762,MARL2019,Desktop\20190905\155.jpg
155.jpg,20191008-11:56:42,121200,MARL2019,Desktop\20191008\155.jpg
185.jpg,20190402-08:50:44,183448,MARL2019,Desktop\20190402\185.jpg
185.jpg,20190603-10:32:38,99409,MARL2019,Desktop\20190605\185.jpg
185.jpg,20190705-07:27:18,93811,MARL2019,Desktop\20190705\185.jpg
185.jpg,20190806-16:52:52,130665,MARL2019,Desktop\20190806\185.jpg
185.jpg,20190902-16:35:16,136702,MARL2019,Desktop\20190905\185.jpg
185.jpg,20191008-11:56:58,126065,MARL2019,Desktop\20191008\185.jpg
201904.pdf,20190402-18:18:09,432040,MARL2019,Desktop\20190402\201904.pdf
201904.pdf,20190430-15:45:32,51505,MARL2019,work\marvell\ADP\201904.pdf
滴滴出行行程报销单.pdf,20190812-11:08:09,101227,MARL2019,Desktop\20190905\滴滴出行行程报销单.pdf
滴滴出行行程报销单.pdf,20190930-12:14:50,107555,MARL2019,Desktop\20191008\滴滴出行行程报销单.pdf
滴滴电子发票.pdf,20190812-11:08:13,38897,MARL2019,Desktop\20190905\滴滴电子发票.pdf
滴滴电子发票.pdf,20190930-12:14:50,38098,MARL2019,Desktop\20191008\滴滴电子发票.pdf
readme.txt,20190514-17:17:53,771,MARL2019,FAETraining\201904\readme.txt
readme.txt,20190306-09:46:45,349,MARL2019,Supports\H3C\20190306nitroxv_for_lb\readme.txt
readme.txt,20190508-16:11:19,273,MARL2019,Supports\H3C\20190508Security_pkohang\readme.txt
readme.txt,20190514-18:38:13,1165,MARL2019,Supports\H3C\20190514pkohang_from_Security\readme.txt
readme.txt,20190529-09:34:25,14273,MARL2019,Supports\SDK_EBB\DB-cn9131\readme.txt
readme.txt,20190318-10:55:15,2008,MARL2019,Supports\salesforce\readme.txt
readme.txt,20190324-08:41:40,639,MARL2019,Tech\map\readme.txt
readme.txt,20180429-13:41:06,887,MARL2019,Tech\python3\Base64Coding\readme.txt
readme.txt,20190608-15:01:29,736,MARL2019,Tech\python3\capture\readme.txt
readme.txt,20190226-20:43:16,176,MARL2019,Tech\python3\syncDir\readme.txt
readme.txt,20190901-09:54:08,457,pytool,FilesAnalysis\readme.txt
readme.txt,20191010-10:47:20,1400,pytool,FilesTransfer\readme.txt
readme.txt,20191010-11:20:27,431,pytool,syncDir\readme.txt
readme.txt,20190319-12:00:09,100,SDK,BDK\margin\readme.txt
build_sdk.log,20190306-09:44:23,22316,MARL2019,Supports\H3C\20190306nitroxv_for_lb\build_sdk.log
build_sdk.log,20190904-12:47:02,555210,MARL2019,Supports\H3C\20190904sr88_sdk\build_sdk.log
test.txt,20190322-20:38:42,3170,MARL2019,Supports\H3C\20190320bdk_margin\test.txt
test.txt,20190902-14:12:35,694,MARL2019,Supports\PowerControl\test.txt
20190521.txt,20190521-10:41:12,412,MARL2019,Supports\H3C\20190418_2GHz_pkohang\20190521.txt
20190521.txt,20190521-15:33:50,243,MARL2019,Supports\H3C\20190521.txt
abnormal.txt,20190418-12:46:30,38369,MARL2019,Supports\H3C\20190418_2GHz_pkohang\Desktop\abnormal.txt
abnormal.txt,20190422-08:25:04,160773,MARL2019,Supports\H3C\20190418_2GHz_pkohang\Desktop20190422\abnormal.txt
normal.txt,20190418-12:44:54,25436,MARL2019,Supports\H3C\20190418_2GHz_pkohang\Desktop\normal.txt
normal.txt,20190508-12:28:14,22093,MARL2019,Supports\H3C\20190508Security_pkohang\normal.txt
normal.txt.readable,20190418-12:50:17,190190,MARL2019,Supports\H3C\20190418_2GHz_pkohang\Desktop\normal.txt.readable
normal.txt.readable,20190508-12:31:29,114982,MARL2019,Supports\H3C\20190508Security_pkohang\normal.txt.readable
Desktop.rar,20190418-12:43:20,10516,MARL2019,Supports\H3C\20190418_2GHz_pkohang\Desktop.rar
Desktop.rar,20190829-09:54:19,123736,MARL2019,Supports\H3C\20190514pkohang_from_Security\20190829\Desktop.rar
PKO.reg.code,20190505-16:11:07,3849729,MARL2019,Supports\H3C\20190508Security_pkohang\PKO.reg.code
PKO.reg.code,20190505-16:11:07,3849729,MARL2019,Supports\H3C\20190514pkohang_from_Security\PKO.reg.code
liquidIO_for_H3C_hangzhou20190510.pptx,20190510-08:47:24,1364872,MARL2019,Supports\H3C\20190514meeting\liquidIO_for_H3C_hangzhou20190510.pptx
liquidIO_for_H3C_hangzhou20190510.pptx,20190510-08:47:24,1364872,MARL2019,Supports\liquidio\liquidIO_for_H3C_hangzhou20190510.pptx
marvell_processor_update.pptx,20190510-15:31:15,9107204,MARL2019,Supports\H3C\20190514meeting\marvell_processor_update.pptx
marvell_processor_update.pptx,20181226-17:31:49,9106980,MARL2019,work\marvell\marketing\marvell_processor_update.pptx
vim_replace.txt,20190910-15:20:59,72,MARL2019,Supports\H3C\20190514pkohang_from_Security\vim_replace.txt
vim_replace.txt,20190910-15:20:59,72,MARL2019,Tech\vim_replace.txt
Makefile,20190505-15:57:18,1035,MARL2019,Supports\H3C\csr_tool-1.1.12\csr_tool\Makefile
Makefile,20190723-11:27:31,1061,MARL2019,Supports\H3C\csr_tool_mingw\Makefile
python.txt,20190902-13:41:15,128,MARL2019,Supports\PowerControl\python.txt
python.txt,20190222-14:42:52,749,MARL2019,Supports\SDK_EBB\EBB83_SDK6XX\python.txt
boot.txt,20190612-15:20:02,8066,MARL2019,Supports\SDK_EBB\SFF8304\boot.txt
boot.txt,20190627-14:10:26,6333,MARL2019,Supports\SDK_EBB\cn96xx-crb\boot.txt
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190228-08:58:54,82454,MARL2019,Supports\SDK_EBB\espressobin\ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf
ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf,20190226-17:51:43,82454,MARL2019,work\A37xx\ESPRESSObin-V7-Hardware-Block-diagram-181202.pdf
foxconn.xlsx,20190923-19:02:36,10336,MARL2019,Supports\foxconn\20190923\foxconn.xlsx
foxconn.xlsx,20190805-21:24:16,11821,MARL2019,Supports\foxconn\foxconn.xlsx
python3.bat,20190607-07:47:07,291,MARL2019,Tech\python3\Base64Coding\python3.bat
python3.bat,20181122-10:20:50,295,MARL2019,Tech\python3\FilesAnalysis\python3.bat
python3.bat,20190607-07:47:07,291,MARL2019,Tech\python3\capture\python3.bat
python3.bat,20181122-10:20:50,295,MARL2019,Tech\python3\syncDir\python3.bat
python3.bat,20181122-10:20:50,295,pytool,FilesAnalysis\python3.bat
python3.bat,20181122-10:20:50,295,pytool,FilesTransfer\python3.bat
python3.bat,20181122-10:20:50,295,pytool,syncDir\python3.bat
filesAnalysis_ThP480_Net_home.py,20190413-15:35:36,3214,MARL2019,Tech\python3\FilesAnalysis\filesAnalysis_ThP480_Net_home.py
filesAnalysis_ThP480_Net_home.py,20190413-16:14:13,3205,pytool,FilesAnalysis\filesAnalysis_ThP480_Net_home.py
filesAnalysis_lib.py,20190413-15:29:34,6048,MARL2019,Tech\python3\FilesAnalysis\filesAnalysis_lib.py
filesAnalysis_lib.py,20190901-19:45:30,6543,pytool,FilesAnalysis\filesAnalysis_lib.py
syncFiles_Dell_InspironR14_Net.py,20190409-21:44:14,3192,MARL2019,Tech\python3\syncDir\syncFiles_Dell_InspironR14_Net.py
syncFiles_Dell_InspironR14_Net.py,20191011-04:51:10,3192,pytool,syncDir\syncFiles_Dell_InspironR14_Net.py
syncFiles_Dell_InspironR14_USB.py,20190409-21:43:30,2893,MARL2019,Tech\python3\syncDir\syncFiles_Dell_InspironR14_USB.py
syncFiles_Dell_InspironR14_USB.py,20190830-02:44:42,2880,pytool,syncDir\syncFiles_Dell_InspironR14_USB.py
syncFiles_ThC_USB.py,20190409-21:44:38,3157,MARL2019,Tech\python3\syncDir\syncFiles_ThC_USB.py
syncFiles_ThC_USB.py,20190807-07:25:08,3144,pytool,syncDir\syncFiles_ThC_USB.py
syncFiles_ThP450_USB.py,20190409-21:43:10,2897,MARL2019,Tech\python3\syncDir\syncFiles_ThP450_USB.py
syncFiles_ThP450_USB.py,20190901-09:51:56,2888,pytool,syncDir\syncFiles_ThP450_USB.py
syncFiles_ThP480_Net_ThC.py,20190409-21:36:27,3247,MARL2019,Tech\python3\syncDir\syncFiles_ThP480_Net_ThC.py
syncFiles_ThP480_Net_ThC.py,20191009-08:10:10,3251,pytool,syncDir\syncFiles_ThP480_Net_ThC.py
syncFiles_ThP480_Net_home.py,20190409-21:22:16,3206,MARL2019,Tech\python3\syncDir\syncFiles_ThP480_Net_home.py
syncFiles_ThP480_Net_home.py,20190624-10:36:57,3202,pytool,syncDir\syncFiles_ThP480_Net_home.py
syncFiles_lib2.py,20190409-21:40:08,11213,MARL2019,Tech\python3\syncDir\syncFiles_lib2.py
syncFiles_lib2.py,20190624-10:36:03,11360,pytool,syncDir\syncFiles_lib2.py
syncFiles_lib3.py,20190409-21:15:37,11169,MARL2019,Tech\python3\syncDir\syncFiles_lib3.py
syncFiles_lib3.py,20191009-08:43:23,11320,pytool,syncDir\syncFiles_lib3.py
documentation.zip,20190917-11:46:47,38430018,SDK,SDK10\PR2006\documentation.zip
documentation.zip,20191008-17:19:51,38162758,SDK,SDK10\sdk10.0.1.0\documentation.zip
